date | value

2011-01-03 | 3
2011-01-03 | 0
2011-01-03 | 0.0
2011-01-03 | 0.0001
2011-01-03 | 999
2011-01-03 | 1000
2011-01-03 | 1000.0

2011-01-03 | 1000.0001
2011-01-03 | 1001
2011-01-03 | -1
2011-01-03 | -0.5

2011-01-03 | abc
2011-01-03 | 12abc
2011-01-03 | 12.3.4
2011-01-03 | .
2011-01-03 | +
2011-01-03 | -
2011-01-03 | nan
2011-01-03 | inf
2011-01-03 | -inf

2011-01-03 |
| 3
|
2011-01-03
2011-01-03 || 3
2011-01-03 | 3 | 4

2011-01-03|3
2011-01-03    |    3
   2011-01-03 | 3
2011-01-03 | 3   

2011-1-03 | 3
2011-01-3 | 3
11-01-03 | 3
20111-01-03 | 3
2011/01/03 | 3
2011.01.03 | 3
abcd-01-03 | 3

2011-00-03 | 3
2011-13-03 | 3
2011-01-00 | 3
2011-01-32 | 3

2011-04-30 | 3
2011-04-31 | 3
2011-06-31 | 3
2011-09-31 | 3
2011-11-31 | 3

2012-02-28 | 3
2012-02-29 | 3
2012-02-30 | 3
2011-02-28 | 3
2011-02-29 | 3
2000-02-29 | 3
1900-02-29 | 3

2011-01-04 | 3
2011-01-05 | 3
2011-01-08 | 3
2011-01-09 | 3
2011-01-10 | 3

2000-01-01 | 3
2100-01-01 | 3

2011-01-03 | +3
2011-01-03 | 03
2011-01-03 | 3.
2011-01-03 | .5
2011-01-03 | 1e2
2011-01-03 | 1e3
2011-01-03 | 1e4
2011-01-03 | 1e-3
2011-01-03 | 1e9999
2011-01-03 | 1e-9999
